No,Classification,Name of Cultural Heritage,Korean,Address,,,,,,,
23,National Treasure,"Cheongungyo and Baegungyo Bridges of Bulguksa Temple, Gyeongju",경주 불국사 청운교 및 백운교 ( 慶州 佛國寺 靑雲橋 및 白雲橋 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
24,National Treasure,"Seokguram Grotto, Gyeongju",경주 석굴암 석굴 ( 慶州 石窟庵 石窟 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
25,National Treasure,"Stele of King Muyeol, Gyeongju",경주 태종무열왕릉비 ( 慶州 太宗武烈王陵碑 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
26,National Treasure,"Gilt-bronze Seated Vairocana Buddha of Bulguksa Temple, Gyeongju",경주 불국사 금동비로자나불좌상 ( 慶州 佛國寺 金銅毘盧遮那佛坐像 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
27,National Treasure,"Gilt-bronze Seated Amitabha Buddha of Bulguksa Temple, Gyeongju",경주 불국사 금동아미타여래좌상 ( 慶州 佛國寺 金銅阿彌陀如來坐像 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
28,National Treasure,"Gilt-bronze Standing Bhaisajyaguru Buddha of Baengnyulsa Temple, Gyeongju",경주 백률사 금동약사여래입상 ( 慶州 栢栗寺 金銅藥師如來立像 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
29,National Treasure,Sacred Bell of Great King Seongdeok,성덕대왕신종 ( 聖德大王神鍾 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
30,National Treasure,"Stone Brick Pagoda of Bunhwangsa Temple, Gyeongju",경주 분황사 모전석탑 ( 慶州 芬皇寺 模塼石塔 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
31,National Treasure,"Cheomseongdae Observatory, Gyeongju",경주 첨성대 ( 慶州 瞻星臺 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
32,National Treasure,"Printing Woodblocks of the Tripitaka Koreana in Haeinsa Temple, Hapcheon",합천 해인사 대장경판 ( 陜川 海印寺 大藏經板 ),Gyeongsangnam-do Hapcheon-gun,,,,,,,
33,National Treasure,Monument in Changnyeong Commemorating the Border Expansion by King Jinheung of Silla,창녕 신라 진흥왕 척경비 ( 昌寧 新羅 眞興王 拓境碑 ),Gyeongsangnam-do Changnyeong-gun,,,,,,,
34,National Treasure,"East Three-story Stone Pagoda in Suljeong-ri, Changnyeong",창녕 술정리 동 삼층석탑 ( 昌寧 述亭里 東 三層石塔 ),Gyeongsangnam-do Changnyeong-gun,,,,,,,
35,National Treasure,"Four Lion Three-story Stone Pagoda of Hwaeomsa Temple, Gurye",구례 화엄사 사사자 삼층석탑 ( 求禮 華嚴寺 四獅子 三層石塔 ),Jeollanam-do Gurye-gun,,,,,,,
36,National Treasure,Bronze Bell of Sangwonsa Temple,상원사 동종 ( 上院寺 銅鍾 ),Gangwon-do Pyeongchang-gun,,,,,,,
37,National Treasure,"Three-story Stone Pagoda at Hwangboksa Temple Site, Gyeongju",경주 황복사지 삼층석탑 ( 慶州 皇福寺址 三層石塔 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
38,National Treasure,"Three-story Stone Pagoda from Goseonsa Temple Site, Gyeongju",경주 고선사지 삼층석탑 ( 慶州 高仙寺址 三層石塔 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
39,National Treasure,"Five-story Stone Pagoda in Nawon-ri, Gyeongju",경주 나원리 오층석탑 ( 慶州 羅原里 五層石塔 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
40,National Treasure,"Thirteen-story Stone Pagoda at Jeonghyesa Temple Site, Gyeongju",경주 정혜사지 십삼층석탑 ( 慶州 淨惠寺址 十三層石塔 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
41,National Treasure,"Iron Flagpole at Yongdusa Temple Site, Cheongju",청주 용두사지 철당간 ( 淸州 龍頭寺址 鐵幢竿 ),Chungcheongbuk-do Cheongju-si,,,,,,,
42,National Treasure,"Portable Shrine of Wooden Buddha Triad at Songgwangsa Temple, Suncheon",순천 송광사 목조삼존불감 ( 順天 松廣寺 木造三尊佛龕 ),Jeollanam-do Suncheon-si,,,,,,,
43,National Treasure,Royal Edict of Appointment Issued to Great Master Hyesim,혜심 고신제서 ( 惠諶 告身制書 ),Jeollanam-do Suncheon-si,,,,,,,
44,National Treasure,"South and North Three-story Stone Pagodas and Stone Lantern of Borimsa Temple, Jangheung",장흥 보림사 남·북 삼층석탑 및 석등 ( 長興 寶林寺 南·北 三層石塔 및 石燈 ),Jeollanam-do Jangheung-gun,,,,,,,
45,National Treasure,"Clay Seated Buddha of Buseoksa Temple, Yeongju",영주 부석사 소조여래좌상 ( 榮州 浮石寺 塑造如來坐像 ),Gyeongsangbuk-do Yeongju-si,,,,,,,
46,National Treasure,Mural Painting in Josadang Shrine of Buseoksa Temple,부석사 조사당 벽화 ( 浮石寺 祖師堂 壁畵 ),Gyeongsangbuk-do Yeongju-si,,,,,,,
47,National Treasure,"Stele of Master Jingam at Ssanggyesa Temple, Hadong",하동 쌍계사 진감선사탑비 ( 河東 雙磎寺 眞鑑禪師塔碑 ),Gyeongsangnam-do Hadong-gun,,,,,,,
48,National Treasure,"Octagonal Nine-story Stone Pagoda of Woljeongsa Temple, Pyeongchang",평창 월정사 팔각 구층석탑 ( 平昌 月精寺 八角 九層石塔 ),Gangwon-do Pyeongchang-gun,,,,,,,
49,National Treasure,"Stone Seated Bodhisattva of Woljeongsa Temple, Pyeongchang",평창 월정사 석조보살좌상 ( 平昌 月精寺 石造菩薩坐像 ),Gangwon-do Pyeongchang-gun,,,,,,,
50,National Treasure,"Daeungjeon Hall of Sudeoksa Temple, Yesan",예산 수덕사 대웅전 ( 禮山 修德寺 大雄殿 ),Chungcheongnam-do Yesan-gun,,,,,,,
51,National Treasure,"Haetalmun Gate of Dogapsa Temple, Yeongam",영암 도갑사 해탈문 ( 靈巖 道岬寺 解脫門 ),Jeollanam-do Yeongam-gun,,,,,,,
52,National Treasure,"Main Gate of Imyeonggwan Guesthouse, Gangneung",강릉 임영관 삼문 ( 江陵 臨瀛館 三門 ),Gangwon-do Gangneung-si,,,,,,,
53,National Treasure,"Janggyeongpanjeon Depositories of Haeinsa Temple, Hapcheon",합천 해인사 장경판전 ( 陜川 海印寺 藏經板殿 ),Gyeongsangnam-do Hapcheon-gun,,,,,,,
54,National Treasure,"East Stupa of Yeongoksa Temple, Gurye",구례 연곡사 동 승탑 ( 求禮 鷰谷寺 東 僧塔 ),Jeollanam-do Gurye-gun,,,,,,,
55,National Treasure,"North Stupa of Yeongoksa Temple, Gurye",구례 연곡사 북 승탑 ( 求禮 鷰谷寺 北 僧塔 ),Jeollanam-do Gurye-gun,,,,,,,
56,National Treasure,"Palsangjeon Wooden Pagoda of Beopjusa Temple, Boeun",보은 법주사 팔상전 ( 報恩 法住寺 捌相殿 ),Chungcheongbuk-do Boeun-gun,,,,,,,
57,National Treasure,"Guksajeon Shrine of Songgwangsa Temple, Suncheon",순천 송광사 국사전 ( 順天 松廣寺 國師殿 ),Jeollanam-do Suncheon-si,,,,,,,
58,National Treasure,"Stupa of Master Cheolgam at Ssangbongsa Temple, Hwasun",화순 쌍봉사 철감선사탑 ( 和順 雙峯寺 澈鑒禪師塔 ),Jeollanam-do Hwasun-gun,,,,,,,
59,National Treasure,"Iron Seated Bhaisajyaguru Buddha and Stone Pedestal of Janggoksa Temple, Cheongyang",청양 장곡사 철조약사여래좌상 및 석조대좌 ( 靑陽 長谷寺 鐵造藥師如來坐像 및 石造臺座 ),Chungcheongnam-do Cheongyang-gun,,,,,,,
60,National Treasure,"Stele of State Preceptor Jigwang at Beopcheonsa Temple Site, Wonju",원주 법천사지 지광국사탑비 ( 原州 法泉寺址 智光國師塔碑 ),Gangwon-do Wonju-si,,,,,,,
61,National Treasure,Celadon Incense Burner with Lion-shaped Lid,청자 사자형뚜껑 향로 ( 靑磁 獅子形蓋 香爐 ),Seoul Yongsan-gu,,,,,,,
62,National Treasure,Celadon Ewer in the Shape of a Fish-dragon,청자 어룡형 주전자 ( 靑磁 魚龍形 注子 ),Seoul Yongsan-gu,,,,,,,
63,National Treasure,"Mireukjeon Hall of Geumsansa Temple, Gimje",김제 금산사 미륵전 ( 金堤 金山寺 彌勒殿 ),Jeollabuk-do Gimje-si,,,,,,,
64,National Treasure,"Iron Seated Vairocana Buddha of Dopiansa Temple, Cheorwon",철원 도피안사 철조비로자나불좌상 ( 鐵原 到彼岸寺 鐵造毘盧遮那佛坐像 ),Gangwon-do Cheorwon-gun,,,,,,,
65,National Treasure,"Stone Lotus Basin of Beopjusa Temple, Boeun",보은 법주사 석련지 ( 報恩 法住寺 石蓮池 ),Chungcheongbuk-do Boeun-gun,,,,,,,
66,National Treasure,Celadon Incense Burner with Girin-shaped Lid,청자 기린형뚜껑 향로 ( 靑磁 麒麟形蓋 香爐 ),Seoul Seongbuk-gu,,,,,,,
67,National Treasure,"Celadon Kundika with Inlaid Willow, Lotus, Reed, and Mandarin Duck Design",청자 상감연지원앙문 정병 ( 靑磁 象嵌蓮池鴛鴦文 淨甁 ),Seoul Seongbuk-gu,,,,,,,
68,National Treasure,"Gakhwangjeon Hall of Hwaeomsa Temple, Gurye",구례 화엄사 각황전 ( 求禮 華嚴寺 覺皇殿 ),Jeollanam-do Gurye-gun,,,,,,,
69,National Treasure,Celadon Prunus Vase with Inlaid Cloud and Crane Design,청자 상감운학문 매병 ( 靑磁 象嵌雲鶴文 梅甁 ),Seoul Seongbuk-gu,,,,,,,
70,National Treasure,Certificate of Meritorious Subject Issued to Sim Ji-baek,심지백 개국원종공신녹권 ( 沈之伯 開國原從功臣錄券 ),Busan Seo-gu,,,,,,,
71,National Treasure,Hunminjeongeum (The Proper Sounds for the Instruction of the People),훈민정음 ( 訓民正音 ),Seoul Seongbuk-gu,,,,,,,
72,National Treasure,"Dongguk jeongun (Standard Rhymes of the Eastern State), Volumes 1 and 6","동국정운 권1, 6 ( 東國正韻 卷一, 六 )",Seoul Seongbuk-gu,,,,,,,
73,National Treasure,"Gilt-bronze Standing Buddha Triad with Inscription of ""Gyemi Year""",금동계미명삼존불입상 ( 金銅癸未銘三尊佛立像 ),Seoul Seongbuk-gu,,,,,,,
74,National Treasure,Portable Shrine of Gilt-bronze Buddha Triad,금동삼존불감 ( 金銅三尊佛龕 ),Seoul Seongbuk-gu,,,,,,,
75,National Treasure,Celadon Duck-shaped Water Dropper,청자 오리모양 연적 ( 靑磁 鴨形 硯滴 ),Seoul Seongbuk-gu,,,,,,,
76,National Treasure,Bronze Incense Burner with Silver-inlaid Design of Pyochungsa Temple,표충사 청동 은입사 향완 ( 表忠寺 靑銅 銀入絲 香垸 ),Gyeongsangnam-do Miryang-si,,,,,,,
77,National Treasure,"Nanjung ilgi (War Diary), Imjin jangcho (Drafts of the Imjin War Reports) and Letters by Yi Sun-sin",이순신 난중일기 및 서간첩 임진장초 ( 李舜臣 亂中日記 및 書簡帖 壬辰狀草 ),Chungcheongnam-do Asan-si,,,,,,,
78,National Treasure,"Five-story Stone Pagoda in Tamni-ri, Uiseong",의성 탑리리 오층석탑 ( 義城 塔里里 五層石塔 ),Gyeongsangbuk-do Uiseong-gun,,,,,,,
79,National Treasure,Gilt-bronze Pensive Maitreya Bodhisattva(1962-1),금동미륵보살반가사유상(1962-1) ( 金銅彌勒菩薩半跏思惟像(1962-1) ),Seoul Yongsan-gu,,,,,,,
80,National Treasure,"Gold Seated Buddha from Guhwang-dong, Gyeongju",경주 구황동 금제여래좌상 ( 慶州 九黃洞 金製如來坐像 ),Seoul Yongsan-gu,,,,,,,
81,National Treasure,"Gold Standing Buddha from Guhwang-dong, Gyeongju",경주 구황동 금제여래입상 ( 慶州 九黃洞 金製如來立像 ),Seoul Yongsan-gu,,,,,,,
82,National Treasure,"Stone Standing Maitreya Bodhisattva of Gamsansa Temple, Gyeongju",경주 감산사 석조미륵보살입상 ( 慶州 甘山寺 石造彌勒菩薩立像 ),Seoul Yongsan-gu,,,,,,,
83,National Treasure,"Stone Standing Amitabha Buddha of Gamsansa Temple, Gyeongju",경주 감산사 석조아미타여래입상 ( 慶州 甘山寺 石造阿彌陀如來立像 ),Seoul Yongsan-gu,,,,,,,
84,National Treasure,Gilt-bronze Pensive Maitreya Bodhisattva,금동미륵보살반가사유상(1962-2) ( 金銅彌勒菩薩半跏思惟像(1962-2) ),Seoul Yongsan-gu,,,,,,,
85,National Treasure,"Rock-carved Buddha Triad in Yonghyeon-ri, Seosan",서산 용현리 마애여래삼존상 ( 瑞山 龍賢里 磨崖如來三尊像 ),Chungcheongnam-do Seosan-si,,,,,,,
86,National Treasure,"Gilt-bronze Standing Buddha Triad with Inscription of ""Sinmyo Year""",금동신묘명삼존불입상 ( 金銅辛卯銘三尊佛立像 ),Seoul Yongsan-gu,,,,,,,
87,National Treasure,"Ten-story Stone Pagoda from Gyeongcheonsa Temple Site, Gaeseong",개성 경천사지 십층석탑 ( 開城 敬天寺址 十層石塔 ),Seoul Yongsan-gu,,,,,,,
88,National Treasure,Gold Crown and Diadem Ornaments from Geumgwanchong Tomb,금관총 금관 및 금제 관식 ( 金冠塚 金冠 및 金製 冠飾 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
89,National Treasure,Gold Waist Belt from Geumgwanchong Tomb,금관총 금제 허리띠 ( 金冠塚 金製 銙帶 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
90,National Treasure,"Gold Buckle from Seogam-ri, Pyeongyang",평양 석암리 금제 띠고리 ( 平壤 石巖里 金製 鉸具 ),Seoul Yongsan-gu,,,,,,,
91,National Treasure,"Gold Earrings from Bubuchong Tomb, Gyeongju",경주 부부총 금귀걸이 ( 慶州 夫婦塚 金製耳飾 ),Seoul Yongsan-gu,,,,,,,
92,National Treasure,Earthenware Funerary Objects in the Shape of a Warrior on Horseback,도기 기마인물형 명기 ( 陶器 騎馬人物形 明器 ),Seoul Yongsan-gu,,,,,,,
93,National Treasure,Bronze Kundika with Silver-inlaid Willow and Waterfowl Design,청동 은입사 포류수금문 정병 ( 靑銅 銀入絲 蒲柳水禽文 淨甁 ),Seoul Yongsan-gu,,,,,,,
94,National Treasure,White Porcelain Jar with Grape and Monkey Design in Underglaze Iron,백자 철화포도원숭이문 항아리 ( 白磁 鐵畵葡萄猿文 壺 ),Seoul Yongsan-gu,,,,,,,
95,National Treasure,Celadon Melon-shaped Bottle,청자 참외모양 병 ( 靑磁 瓜形 甁 ),Seoul Yongsan-gu,,,,,,,
96,National Treasure,Celadon Incense Burner with Openwork Auspicious-character Design Lid,청자 투각칠보문뚜껑 향로 ( 靑磁 透刻七寶文蓋 香爐 ),Seoul Yongsan-gu,,,,,,,
97,National Treasure,Celadon Ewer in the Shape of a Turtle-dragon,청자 구룡형 주전자 ( 靑磁 龜龍形 注子 ),Seoul Yongsan-gu,,,,,,,
98,National Treasure,Celadon Prunus Vase with Incised Lotus and Scroll Design,청자 음각연화당초문 매병 ( 靑磁 陰刻蓮花唐草文 梅甁 ),Seoul Yongsan-gu,,,,,,,
99,National Treasure,Celadon Jar with Inlaid Peony Design,청자 상감모란문 항아리 ( 靑磁 象嵌牡丹文 壺 ),Seoul Yongsan-gu,,,,,,,
100,National Treasure,"East and West Three-story Stone Pagodas from Galhangsa Temple Site, Gimcheon",김천 갈항사지 동·서 삼층석탑 ( 金泉 葛項寺址 東·西 三層石塔 ),Seoul Yongsan-gu,,,,,,,
101,National Treasure,"Seven-story Stone Pagoda from Namgyewon Temple Site, Gaeseong",개성 남계원지 칠층석탑 ( 開城 南溪院址 七層石塔 ),Seoul Yongsan-gu,,,,,,,
102,National Treasure,"Stupa of State Preceptor Jigwang from Beopcheonsa Temple Site, Wonju",원주 법천사지 지광국사탑 ( 原州 法泉寺址 智光國師塔 ),Daejeon Yuseong-gu,,,,,,,
103,National Treasure,"Stupa of State Preceptor Hongbeop from Jeongtosa Temple Site, Chungju",충주 정토사지 홍법국사탑 ( 忠州 淨土寺址 弘法國師塔 ),Seoul Yongsan-gu,,,,,,,
104,National Treasure,"Twin Lion Stone Lantern of Jungheungsanseong Fortress, Gwangyang",광양 중흥산성 쌍사자 석등 ( 光陽 中興山城 雙獅子 石燈 ),Gwangju Buk-gu,,,,,,,
105,National Treasure,"Stupa of Buddhist Monk Yeomgeo from Heungbeopsa Temple Site, Wonju (Presumed)",전 원주 흥법사지 염거화상탑 ( 傳 原州 興法寺址 廉居和尙塔 ),Seoul Yongsan-gu,,,,,,,
106,National Treasure,"Three-story Stone Pagoda in Beomhak-ri, Sancheong",산청 범학리 삼층석탑 ( 山淸 泛鶴里 三層石塔 ),Gyeongsangnam-do Jinju-si,,,,,,,
107,National Treasure,"Buddhist Stele of Amitabha with Inscription of ""Gyeyu Year"", Offered by Jeon",계유명전씨아미타불비상 ( 癸酉銘全氏阿彌陀佛碑像 ),Chungcheongbuk-do Cheongju-si,,,,,,,
108,National Treasure,White Porcelain Jar with Grape Design in Underglaze Iron,백자 철화포도문 항아리 ( 白磁 鐵畵葡萄文 壺 ),Seoul Seodaemun-gu,,,,,,,
109,National Treasure,"Buddhist Stele of Buddha Triad and a Thousand Buddhas with Inscription of ""Gyeyu Year""",계유명삼존천불비상 ( 癸酉銘三尊千佛碑像 ),Chungcheongbuk-do Cheongju-si,,,,,,,
110,National Treasure,"Grotto of Amitabha Buddha Triad, Gunwi",군위 아미타여래삼존 석굴 ( 軍威 阿彌陀如來三尊 石窟 ),Daegu ,,,,,,,
111,National Treasure,Portrait of Yi Je-hyeon,이제현 초상 ( 李齊賢 肖像 ),Seoul Yongsan-gu,,,,,,,
112,National Treasure,Portrait of An Hyang,안향 초상 ( 安珦 肖像 ),Gyeongsangbuk-do Yeongju-si,,,,,,,
113,National Treasure,"East and West Three-story Stone Pagodas at Gameunsa Temple Site, Gyeongju",경주 감은사지 동·서 삼층석탑 ( 慶州 感恩寺址 東·西 三層石塔 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
114,National Treasure,Celadon Tube-shaped Bottle with Willow Design in Underglaze Iron,청자 철화양류문 통형 병 ( 靑磁 鐵畵楊柳文 筒形 甁 ),Seoul Yongsan-gu,,,,,,,
115,National Treasure,Celadon Melon-shaped Bottle with Inlaid Peony and Chrysanthemum Design,청자 상감모란국화문 참외모양 병 ( 靑磁 象嵌牡丹菊花文 瓜形 甁 ),Seoul Yongsan-gu,,,,,,,
116,National Treasure,Celadon Bowl with Inlaid Scroll Design,청자 상감당초문 완 ( 靑磁 象嵌唐草文 碗 ),Seoul Yongsan-gu,,,,,,,
117,National Treasure,Celadon Gourd-shaped Ewer with Inlaid Peony Design,청자 상감모란문 표주박모양 주전자 ( 靑磁 象嵌牡丹文 瓢形 注子 ),Seoul Yongsan-gu,,,,,,,
118,National Treasure,"Iron Seated Vairocana Buddha of Borimsa Temple, Jangheung",장흥 보림사 철조비로자나불좌상 ( 長興 寶林寺 鐵造毘盧遮那佛坐像 ),Jeollanam-do Jangheung-gun,,,,,,,
119,National Treasure,Gilt-bronze Pensive Maitreya Bodhisattva,금동미륵보살반가사유상(1964) ( 金銅彌勒菩薩半跏思惟像(1964) ),Seoul Yongsan-gu,,,,,,,
120,National Treasure,"Gilt-bronze Standing Buddha with Inscription of ""the Seventh Yeonga Year""",금동연가7년명여래입상 ( 金銅延嘉七年銘如來立像 ),Seoul Yongsan-gu,,,,,,,
121,National Treasure,Bronze Bell of Yongjusa Temple,용주사 동종 ( 龍珠寺 銅鍾 ),Gyeonggi-do Hwaseong-si,,,,,,,
122,National Treasure,Hahoe Masks and Byeongsan Masks of Andong,안동 하회탈 및 병산탈 ( 安東 河回탈 및 屛山탈 ),Gyeongsangbuk-do Andong-si,,,,,,,
123,National Treasure,"Three-story Stone Pagoda at Jinjeonsa Temple Site, Yangyang",양양 진전사지 삼층석탑 ( 襄陽 陳田寺址 三層石塔 ),Gangwon-do Yangyang-gun,,,,,,,
124,National Treasure,"Reliquaries from the Five-story Stone Pagoda in Wanggung-ri, Iksan",익산 왕궁리 오층석탑 사리장엄구 ( 益山 王宮里 五層石塔 舍利莊嚴具 ),Jeollabuk-do Iksan-si,,,,,,,
125,National Treasure,"Stone Seated Bodhisattva from Hansongsa Temple Site, Gangneung",강릉 한송사지 석조보살좌상 ( 江陵 寒松寺址 石造菩薩坐像 ),Gangwon-do Chuncheon-si,,,,,,,
126,National Treasure,Green-glazed Burial Urn (Granite Case),녹유골호(부석제외함) ( 綠釉骨壺(附石製外函) ),Seoul Yongsan-gu,,,,,,,
127,National Treasure,Reliquaries from the Three-story Stone Pagoda of Bulguksa Temple,불국사 삼층석탑 사리장엄구 ( 佛國寺 三層石塔 舍利莊嚴具 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
128,National Treasure,"Gilt-bronze Standing Avalokitesvara Bodhisattva from Samyang-dong, Seoul",서울 삼양동 금동관음보살입상 ( 서울 三陽洞 金銅觀音菩薩立像 ),Seoul Yongsan-gu,,,,,,,
129,National Treasure,Gilt-bronze Standing Avalokitesvara Bodhisattva,금동관음보살입상 ( 金銅觀音菩薩立像 ),Seoul Yongsan-gu,,,,,,,
130,National Treasure,Gilt-bronze Standing Bodhisattva,금동보살입상(1968) ( 金銅菩薩立像(1968) ),Seoul Yongsan-gu,,,,,,,
131,National Treasure,"Five-story Stone Pagoda in Jukjang-ri, Gumi",구미 죽장리 오층석탑 ( 龜尾 竹杖里 五層石塔 ),Gyeongsangbuk-do Gumi-si,,,,,,,
132,National Treasure,Family Register of Hwaryeong-bu Prefecture Written in the Late Goryeo Dynasty,고려말 화령부 호적 관련 고문서 ( 高麗末 和寧府 戶籍 關聯 古文書 ),Seoul Yongsan-gu,,,,,,,
133,National Treasure,Jingbirok (The Book of Correction),징비록 ( 懲毖錄 ),Gyeongsangbuk-do Andong-si,,,,,,,
134,National Treasure,Celadon Gourd-shaped Ewer with Lotus Design in Underglaze Copper,청자 동화연화문 표주박모양 주전자 ( 靑磁 銅畵蓮花文 瓢形 注子 ),Seoul Yongsan-gu,,,,,,,
135,National Treasure,Gilt-bronze Standing Bodhisattva Triad,금동보살삼존입상 ( 金銅菩薩三尊立像 ),Seoul Yongsan-gu,,,,,,,
136,National Treasure,Album of Genre Paintings by Sin Yun-bok,신윤복 필 풍속도 화첩 ( 申潤福 筆 風俗圖 畵帖 ),Seoul Seongbuk-gu,,,,,,,
137,National Treasure,Gilt-bronze Miniature Buddhist Flagpole with Dragon Finial,금동 용두보당 ( 金銅 龍頭寶幢 ),Seoul Yongsan-gu,,,,,,,
138,National Treasure,"Bronze Artifacts from Bisan-dong, Daegu",대구 비산동 청동기 일괄 - 검 및 칼집 부속 ( 大邱 飛山洞 靑銅器 一括 - 劍 및 劍鞘附屬 ),Seoul Yongsan-gu,,,,,,,
139,National Treasure,"Bronze Artifacts from Bisan-dong, Daegu",대구 비산동 청동기 일괄 - 투겁창 및 꺾창 ( 大邱 飛山洞 靑銅器 一括 - 鉾 및 戈 ),Seoul Yongsan-gu,,,,,,,
140,National Treasure,Gold Crown and Ornaments from Goryeong (Presumed),전 고령 금관 및 장신구 일괄 ( 傳 高靈 金冠 및 裝身具 一括 ),Seoul Yongsan-gu,,,,,,,
