No,Classification,Name of Cultural Heritage,Korean,ccebAsno,heritage_url,img
11,National Treasure,"Stone Pagoda at Mireuksa Temple Site, Iksan",익산 미륵사지 석탑 ( 益山 彌勒寺址 石塔 ),00110000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00110000&sCcebCtcd=35&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Stone+Pagoda+at+Mireuksa+Temple+Site,+Iksan",newdataset/newdata/11/11.jpg
12,National Treasure,"Stone Lantern at Gakhwangjeon Hall of Hwaeomsa Temple, Gurye",구례 화엄사 각황전 앞 석등 ( 求禮 華嚴寺 覺皇殿 앞 石燈 ),00120000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00120000&sCcebCtcd=36&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Stone+Lantern+at+Gakhwangjeon+Hall+of+Hwaeomsa+Temple,+Gurye",newdataset/newdata/12/12.jpg
13,National Treasure,"Geungnakbojeon Hall of Muwisa Temple, Gangjin",강진 무위사 극락보전 ( 康津 無爲寺 極樂寶殿 ),00130000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00130000&sCcebCtcd=36&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Geungnakbojeon+Hall+of+Muwisa+Temple,+Gangjin",newdataset/newdata/13/13.jpg
14,National Treasure,"Yeongsanjeon Hall of Geojosa Temple, Yeongcheon",영천 거조사 영산전 ( 永川 居祖寺 靈山殿 ),00140000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00140000&sCcebCtcd=37&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Yeongsanjeon+Hall+of+Geojosa+Temple,+Yeongcheon",newdataset/newdata/14/14.jpg
15,National Treasure,"Geungnakjeon Hall of Bongjeongsa Temple, Andong",안동 봉정사 극락전 ( 安東 鳳停寺 極樂殿 ),00150000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00150000&sCcebCtcd=37&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Geungnakjeon+Hall+of+Bongjeongsa+Temple,+Andong",newdataset/newdata/15/15.jpg
16,National Treasure,"Seven-story Brick Pagoda at Beopheungsa Temple Site, Andong",안동 법흥사지 칠층전탑 ( 安東 法興寺址 七層塼塔 ),00160000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00160000&sCcebCtcd=37&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Seven-story+Brick+Pagoda+at+Beopheungsa+Temple+Site,+Andong",newdataset/newdata/16/16.jpg
17,National Treasure,"Stone Lantern at Muryangsujeon Hall of Buseoksa Temple, Yeongju",영주 부석사 무량수전 앞 석등 ( 榮州 浮石寺 無量壽殿 앞 石燈 ),00170000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00170000&sCcebCtcd=37&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Stone+Lantern+at+Muryangsujeon+Hall+of+Buseoksa+Temple,+Yeongju",newdataset/newdata/17/17.jpg
18,National Treasure,"Muryangsujeon Hall of Buseoksa Temple, Yeongju",영주 부석사 무량수전 ( 榮州 浮石寺 無量壽殿 ),00180000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00180000&sCcebCtcd=37&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Muryangsujeon+Hall+of+Buseoksa+Temple,+Yeongju",newdataset/newdata/18/18.jpg
19,National Treasure,"Josadang Shrine of Buseoksa Temple, Yeongju",영주 부석사 조사당 ( 榮州 浮石寺 祖師堂 ),00190000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00190000&sCcebCtcd=37&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Josadang+Shrine+of+Buseoksa+Temple,+Yeongju",newdataset/newdata/19/19.jpg
20,National Treasure,"Dabotap Pagoda of Bulguksa Temple, Gyeongju",경주 불국사 다보탑 ( 慶州 佛國寺 多寶塔 ),00200000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00200000&sCcebCtcd=37&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Dabotap+Pagoda+of+Bulguksa+Temple,+Gyeongju",newdataset/newdata/20/20.jpg
21,National Treasure,"Three-story Stone Pagoda of Bulguksa Temple, Gyeongju",경주 불국사 삼층석탑 ( 慶州 佛國寺 三層石塔 ),00210000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00210000&sCcebCtcd=37&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Three-story+Stone+Pagoda+of+Bulguksa+Temple,+Gyeongju",newdataset/newdata/21/21.jpg
22,National Treasure,"Yeonhwagyo and Chilbogyo Bridges of Bulguksa Temple, Gyeongju",경주 불국사 연화교 및 칠보교 ( 慶州 佛國寺 蓮華橋 및 七寶橋 ),00220000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00220000&sCcebCtcd=37&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Yeonhwagyo+and+Chilbogyo+Bridges+of+Bulguksa+Temple,+Gyeongju",newdataset/newdata/22/22.jpg
23,National Treasure,"Cheongungyo and Baegungyo Bridges of Bulguksa Temple, Gyeongju",경주 불국사 청운교 및 백운교 ( 慶州 佛國寺 靑雲橋 및 白雲橋 ),00230000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00230000&sCcebCtcd=37&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Cheongungyo+and+Baegungyo+Bridges+of+Bulguksa+Temple,+Gyeongju",newdataset/newdata/23/23.jpg
24,National Treasure,"Seokguram Grotto, Gyeongju",경주 석굴암 석굴 ( 慶州 石窟庵 石窟 ),00240000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00240000&sCcebCtcd=37&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Seokguram+Grotto,+Gyeongju",newdataset/newdata/24/24.jpg
25,National Treasure,"Stele of King Muyeol, Gyeongju",경주 태종무열왕릉비 ( 慶州 太宗武烈王陵碑 ),00250000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00250000&sCcebCtcd=37&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Stele+of+King+Muyeol,+Gyeongju",newdataset/newdata/25/25.jpg
26,National Treasure,"Gilt-bronze Seated Vairocana Buddha of Bulguksa Temple, Gyeongju",경주 불국사 금동비로자나불좌상 ( 慶州 佛國寺 金銅毘盧遮那佛坐像 ),00260000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00260000&sCcebCtcd=37&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Gilt-bronze+Seated+Vairocana+Buddha+of+Bulguksa+Temple,+Gyeongju",newdataset/newdata/26/26.jpg
27,National Treasure,"Gilt-bronze Seated Amitabha Buddha of Bulguksa Temple, Gyeongju",경주 불국사 금동아미타여래좌상 ( 慶州 佛國寺 金銅阿彌陀如來坐像 ),00270000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00270000&sCcebCtcd=37&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Gilt-bronze+Seated+Amitabha+Buddha+of+Bulguksa+Temple,+Gyeongju",newdataset/newdata/27/27.jpg
28,National Treasure,"Gilt-bronze Standing Bhaisajyaguru Buddha of Baengnyulsa Temple, Gyeongju",경주 백률사 금동약사여래입상 ( 慶州 栢栗寺 金銅藥師如來立像 ),00280000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00280000&sCcebCtcd=37&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Gilt-bronze+Standing+Bhaisajyaguru+Buddha+of+Baengnyulsa+Temple,+Gyeongju",newdataset/newdata/28/28.jpg
29,National Treasure,Sacred Bell of Great King Seongdeok,성덕대왕신종 ( 聖德大王神鍾 ),00290000,https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00290000&sCcebCtcd=37&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Sacred+Bell+of+Great+King+Seongdeok,newdataset/newdata/29/29.jpg
30,National Treasure,"Stone Brick Pagoda of Bunhwangsa Temple, Gyeongju",경주 분황사 모전석탑 ( 慶州 芬皇寺 模塼石塔 ),00300000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00300000&sCcebCtcd=37&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Stone+Brick+Pagoda+of+Bunhwangsa+Temple,+Gyeongju",newdataset/newdata/30/30.jpg
31,National Treasure,"Cheomseongdae Observatory, Gyeongju",경주 첨성대 ( 慶州 瞻星臺 ),00310000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00310000&sCcebCtcd=37&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Cheomseongdae+Observatory,+Gyeongju",newdataset/newdata/31/31.jpg
32,National Treasure,"Printing Woodblocks of the Tripitaka Koreana in Haeinsa Temple, Hapcheon",합천 해인사 대장경판 ( 陜川 海印寺 大藏經板 ),00320000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00320000&sCcebCtcd=38&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Printing+Woodblocks+of+the+Tripitaka+Koreana+in+Haeinsa+Temple,+Hapcheon",newdataset/newdata/32/32.jpg
33,National Treasure,Monument in Changnyeong Commemorating the Border Expansion by King Jinheung of Silla,창녕 신라 진흥왕 척경비 ( 昌寧 新羅 眞興王 拓境碑 ),00330000,https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00330000&sCcebCtcd=38&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Monument+in+Changnyeong+Commemorating+the+Border+Expansion+by+King+Jinheung+of+Silla,newdataset/newdata/33/33.jpg
34,National Treasure,"East Three-story Stone Pagoda in Suljeong-ri, Changnyeong",창녕 술정리 동 삼층석탑 ( 昌寧 述亭里 東 三層石塔 ),00340000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00340000&sCcebCtcd=38&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=East+Three-story+Stone+Pagoda+in+Suljeong-ri,+Changnyeong",newdataset/newdata/34/34.jpg
35,National Treasure,"Four Lion Three-story Stone Pagoda of Hwaeomsa Temple, Gurye",구례 화엄사 사사자 삼층석탑 ( 求禮 華嚴寺 四獅子 三層石塔 ),00350000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00350000&sCcebCtcd=36&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Four+Lion+Three-story+Stone+Pagoda+of+Hwaeomsa+Temple,+Gurye",newdataset/newdata/35/35.jpg
36,National Treasure,Bronze Bell of Sangwonsa Temple,상원사 동종 ( 上院寺 銅鍾 ),00360000,https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00360000&sCcebCtcd=32&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Bronze+Bell+of+Sangwonsa+Temple,newdataset/newdata/36/36.jpg
37,National Treasure,"Three-story Stone Pagoda at Hwangboksa Temple Site, Gyeongju",경주 황복사지 삼층석탑 ( 慶州 皇福寺址 三層石塔 ),00370000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00370000&sCcebCtcd=37&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Three-story+Stone+Pagoda+at+Hwangboksa+Temple+Site,+Gyeongju",newdataset/newdata/37/37.jpg
38,National Treasure,"Three-story Stone Pagoda from Goseonsa Temple Site, Gyeongju",경주 고선사지 삼층석탑 ( 慶州 高仙寺址 三層石塔 ),00380000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00380000&sCcebCtcd=37&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Three-story+Stone+Pagoda+from+Goseonsa+Temple+Site,+Gyeongju",newdataset/newdata/38/38.jpg
39,National Treasure,"Five-story Stone Pagoda in Nawon-ri, Gyeongju",경주 나원리 오층석탑 ( 慶州 羅原里 五層石塔 ),00390000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00390000&sCcebCtcd=37&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Five-story+Stone+Pagoda+in+Nawon-ri,+Gyeongju",newdataset/newdata/39/39.jpg
40,National Treasure,"Thirteen-story Stone Pagoda at Jeonghyesa Temple Site, Gyeongju",경주 정혜사지 십삼층석탑 ( 慶州 淨惠寺址 十三層石塔 ),00400000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00400000&sCcebCtcd=37&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Thirteen-story+Stone+Pagoda+at+Jeonghyesa+Temple+Site,+Gyeongju",newdataset/newdata/40/40.jpg
41,National Treasure,"Iron Flagpole at Yongdusa Temple Site, Cheongju",청주 용두사지 철당간 ( 淸州 龍頭寺址 鐵幢竿 ),00410000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00410000&sCcebCtcd=33&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Iron+Flagpole+at+Yongdusa+Temple+Site,+Cheongju",newdataset/newdata/41/41.jpg
42,National Treasure,"Portable Shrine of Wooden Buddha Triad at Songgwangsa Temple, Suncheon",순천 송광사 목조삼존불감 ( 順天 松廣寺 木造三尊佛龕 ),00420000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00420000&sCcebCtcd=36&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Portable+Shrine+of+Wooden+Buddha+Triad+at+Songgwangsa+Temple,+Suncheon",newdataset/newdata/42/42.jpg
43,National Treasure,Royal Edict of Appointment Issued to Great Master Hyesim,혜심 고신제서 ( 惠諶 告身制書 ),00430000,https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00430000&sCcebCtcd=36&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Royal+Edict+of+Appointment+Issued+to+Great+Master+Hyesim,newdataset/newdata/43/43.jpg
44,National Treasure,"South and North Three-story Stone Pagodas and Stone Lantern of Borimsa Temple, Jangheung",장흥 보림사 남·북 삼층석탑 및 석등 ( 長興 寶林寺 南·北 三層石塔 및 石燈 ),00440000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00440000&sCcebCtcd=36&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=South+and+North+Three-story+Stone+Pagodas+and+Stone+Lantern+of+Borimsa+Temple,+Jangheung",newdataset/newdata/44/44.jpg
45,National Treasure,"Clay Seated Buddha of Buseoksa Temple, Yeongju",영주 부석사 소조여래좌상 ( 榮州 浮石寺 塑造如來坐像 ),00450000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00450000&sCcebCtcd=37&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Clay+Seated+Buddha+of+Buseoksa+Temple,+Yeongju",newdataset/newdata/45/45.jpg
46,National Treasure,Mural Painting in Josadang Shrine of Buseoksa Temple,부석사 조사당 벽화 ( 浮石寺 祖師堂 壁畵 ),00460000,https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00460000&sCcebCtcd=37&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Mural+Painting+in+Josadang+Shrine+of+Buseoksa+Temple,newdataset/newdata/46/46.jpg
47,National Treasure,"Stele of Master Jingam at Ssanggyesa Temple, Hadong",하동 쌍계사 진감선사탑비 ( 河東 雙磎寺 眞鑑禪師塔碑 ),00470000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00470000&sCcebCtcd=38&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Stele+of+Master+Jingam+at+Ssanggyesa+Temple,+Hadong",newdataset/newdata/47/47.jpg
48,National Treasure,"Octagonal Nine-story Stone Pagoda of Woljeongsa Temple, Pyeongchang",평창 월정사 팔각 구층석탑 ( 平昌 月精寺 八角 九層石塔 ),00480100,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00480100&sCcebCtcd=32&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Octagonal+Nine-story+Stone+Pagoda+of+Woljeongsa+Temple,+Pyeongchang",newdataset/newdata/48/48.jpg
49,National Treasure,"Stone Seated Bodhisattva of Woljeongsa Temple, Pyeongchang",평창 월정사 석조보살좌상 ( 平昌 月精寺 石造菩薩坐像 ),00480200,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00480200&sCcebCtcd=32&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Stone+Seated+Bodhisattva+of+Woljeongsa+Temple,+Pyeongchang",newdataset/newdata/49/49.jpg
50,National Treasure,"Daeungjeon Hall of Sudeoksa Temple, Yesan",예산 수덕사 대웅전 ( 禮山 修德寺 大雄殿 ),00490000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00490000&sCcebCtcd=34&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Daeungjeon+Hall+of+Sudeoksa+Temple,+Yesan",newdataset/newdata/50/50.jpg
51,National Treasure,"Haetalmun Gate of Dogapsa Temple, Yeongam",영암 도갑사 해탈문 ( 靈巖 道岬寺 解脫門 ),00500000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00500000&sCcebCtcd=36&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Haetalmun+Gate+of+Dogapsa+Temple,+Yeongam",newdataset/newdata/51/51.jpg
52,National Treasure,"Main Gate of Imyeonggwan Guesthouse, Gangneung",강릉 임영관 삼문 ( 江陵 臨瀛館 三門 ),00510000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00510000&sCcebCtcd=32&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Main+Gate+of+Imyeonggwan+Guesthouse,+Gangneung",newdataset/newdata/52/52.jpg
53,National Treasure,"Janggyeongpanjeon Depositories of Haeinsa Temple, Hapcheon",합천 해인사 장경판전 ( 陜川 海印寺 藏經板殿 ),00520000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00520000&sCcebCtcd=38&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Janggyeongpanjeon+Depositories+of+Haeinsa+Temple,+Hapcheon",newdataset/newdata/53/53.jpg
54,National Treasure,"East Stupa of Yeongoksa Temple, Gurye",구례 연곡사 동 승탑 ( 求禮 鷰谷寺 東 僧塔 ),00530000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00530000&sCcebCtcd=36&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=East+Stupa+of+Yeongoksa+Temple,+Gurye",newdataset/newdata/54/54.jpg
55,National Treasure,"North Stupa of Yeongoksa Temple, Gurye",구례 연곡사 북 승탑 ( 求禮 鷰谷寺 北 僧塔 ),00540000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00540000&sCcebCtcd=36&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=North+Stupa+of+Yeongoksa+Temple,+Gurye",newdataset/newdata/55/55.jpg
56,National Treasure,"Palsangjeon Wooden Pagoda of Beopjusa Temple, Boeun",보은 법주사 팔상전 ( 報恩 法住寺 捌相殿 ),00550000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00550000&sCcebCtcd=33&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Palsangjeon+Wooden+Pagoda+of+Beopjusa+Temple,+Boeun",newdataset/newdata/56/56.jpg
57,National Treasure,"Guksajeon Shrine of Songgwangsa Temple, Suncheon",순천 송광사 국사전 ( 順天 松廣寺 國師殿 ),00560000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00560000&sCcebCtcd=36&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Guksajeon+Shrine+of+Songgwangsa+Temple,+Suncheon",newdataset/newdata/57/57.jpg
