QuestionId,Name of Cultural Heritage,Question,Answer,AvgScore
0040234,Thirteen-story Stone Pagoda at Jeonghyesa Temple Site,What is the significance of the inscription on the stele?,It provides historical information about the pagoda.,63.33
0040235,Thirteen-story Stone Pagoda at Jeonghyesa Temple Site,What is the name of the temple associated with this heritage?,Jeonghyesa Temple,90.0
0041239,Iron Flagpole at Yongdusa Temple Site,Who was the monk that wrote the inscription on the stele?,Choe Chi-won,90.0
0041240,Iron Flagpole at Yongdusa Temple Site,What is the significance of the Yongdusa Temple Site in Korean history?,It is a historic site related to Buddhism.,53.33
0041241,Iron Flagpole at Yongdusa Temple Site,What is the approximate age of the Iron Flagpole at Yongdusa Temple Site?,"1,400 years old",90.0
0042245,Portable Shrine of Wooden Buddha Triad at Songgwangsa Temple,Who is depicted in the central Buddha statue?,Sakyamuni Buddha,73.33
0042246,Portable Shrine of Wooden Buddha Triad at Songgwangsa Temple,Which temple houses this portable shrine?,Songgwangsa Temple,80.0
0042247,Portable Shrine of Wooden Buddha Triad at Songgwangsa Temple,What is the name of the monk who founded Songgwangsa Temple?,Master Jinul,66.67
0043251,Royal Edict of Appointment Issued to Great Master Hyesim,Who was appointed as the Great Master in this Royal Edict?,Hyesim,91.67
0043252,Royal Edict of Appointment Issued to Great Master Hyesim,What is the significance of the Royal Edict of Appointment to Great Master Hyesim?,It recognized his leadership in Buddhism.,85.0
0043253,Royal Edict of Appointment Issued to Great Master Hyesim,Who issued the Royal Edict of Appointment to Great Master Hyesim?,King Seongjong,91.67
0044257,South and North Three-story Stone Pagodas and Stone Lantern of Borimsa Temple,Who is believed to have built the South and North Three-story Stone Pagodas and Stone Lantern of Borimsa Temple?,Monk Wonhyo,81.67
0044258,South and North Three-story Stone Pagodas and Stone Lantern of Borimsa Temple,What is the significance of the Borimsa Temple in Korean Buddhism?,It is one of the oldest temples in Korea.,56.67
0044259,South and North Three-story Stone Pagodas and Stone Lantern of Borimsa Temple,What is the approximate height of the stone pagodas at Borimsa Temple?,9 meters,76.67
0045263,Clay Seated Buddha of Buseoksa Temple,Where is the Clay Seated Buddha of Buseoksa Temple located?,South Korea,60.0
0045264,Clay Seated Buddha of Buseoksa Temple,Who is believed to have sculpted the Clay Seated Buddha of Buseoksa Temple?,Uisang,85.0
0045265,Clay Seated Buddha of Buseoksa Temple,What is the significance of the Buseoksa Temple in Korean Buddhism?,It is one of the oldest temples in South Korea.,63.33
0046269,Mural Painting in Josadang Shrine of Buseoksa Temple,Who is credited with painting the mural in Josadang Shrine of Buseoksa Temple?,An Gyeon,90.0
0046270,Mural Painting in Josadang Shrine of Buseoksa Temple,What is the significance of the Josadang Shrine within Buseoksa Temple?,It is a place for prayer and worship.,56.67
0047274,Stele of Master Jingam at Ssanggyesa Temple,Who was Master Jingam?,Monk,66.67
0047275,Stele of Master Jingam at Ssanggyesa Temple,Where is Ssanggyesa Temple located?,South Korea,53.33
0047276,Stele of Master Jingam at Ssanggyesa Temple,What is the significance of the Stele of Master Jingam?,Historical inscription,80.0
0048280,Octagonal Nine-story Stone Pagoda of Woljeongsa Temple,Who built the Octagonal Nine-story Stone Pagoda of Woljeongsa Temple?,Choe Chi-won,83.33
0048281,Octagonal Nine-story Stone Pagoda of Woljeongsa Temple,What temple is associated with this heritage?,Woljeongsa Temple,86.67
0048282,Octagonal Nine-story Stone Pagoda of Woljeongsa Temple,How many stories does the Octagonal Nine-story Stone Pagoda have?,Nine,50.0
0049286,Stone Seated Bodhisattva of Woljeongsa Temple,Who is believed to be enshrined in the body of this Bodhisattva?,Sakyamuni Buddha,53.33
0049287,Stone Seated Bodhisattva of Woljeongsa Temple,What is the significance of the Bodhisattva's eyes looking down?,Symbolizes meditation and inner reflection,75.0
0049288,Stone Seated Bodhisattva of Woljeongsa Temple,What is the name of the temple where this Bodhisattva is located?,Woljeongsa Temple,76.67
0050292,Daeungjeon Hall of Sudeoksa Temple,Who is credited with the creation of the Sudeoksa Temple?,Uisang,66.67
0050293,Daeungjeon Hall of Sudeoksa Temple,What significant event took place at the Godalsa Temple in 940 AD?,The temple was burned down,36.67
0050294,Daeungjeon Hall of Sudeoksa Temple,What is the meaning of the name 'Daeungjeon Hall' in English?,Main Buddha Hall,56.67
0051298,Haetalmun Gate of Dogapsa Temple,Who built the Haetalmun Gate of Dogapsa Temple?,Choe Chi-won,85.0
0051299,Haetalmun Gate of Dogapsa Temple,What does the inscription on the stele at this heritage describe?,History of the temple,63.33
0051300,Haetalmun Gate of Dogapsa Temple,What is the significance of the Haetalmun Gate in the history of Dogapsa Temple?,Entrance gate,80.0
0052304,Main Gate of Imyeonggwan Guesthouse,Who was the Main Gate of Imyeonggwan Guesthouse built for?,Joseon Dynasty officials,70.0
0052305,Main Gate of Imyeonggwan Guesthouse,What is the significance of the stele inscription at this heritage?,It commemorates the construction of the guesthouse,80.0
0052306,Main Gate of Imyeonggwan Guesthouse,What is the name of the area where the Main Gate of Imyeonggwan Guesthouse is located?,Jongno-gu,53.33
0053310,Janggyeongpanjeon Depositories of Haeinsa Temple,What is the name of the depositories of the Tripitaka Koreana housed in Haeinsa Temple?,Janggyeongpanjeon,95.0
0053311,Janggyeongpanjeon Depositories of Haeinsa Temple,Who is credited with the idea of building the Janggyeongpanjeon depositories?,Choe Chi-won,81.67
0053312,Janggyeongpanjeon Depositories of Haeinsa Temple,How many wooden printing blocks of the Tripitaka Koreana are stored in the Janggyeongpanjeon?,"81,258",90.0
0054316,East Stupa of Yeongoksa Temple,Who was responsible for the renovation of the East Stupa of Yeongoksa Temple in 1706?,Choe Hae-san,90.0
0054317,East Stupa of Yeongoksa Temple,What is the significance of the Yeongoksa Temple in Korean Buddhism?,It is a significant temple in the history of Korean Buddhism.,63.33
0054318,East Stupa of Yeongoksa Temple,What is the height of the East Stupa of Yeongoksa Temple?,6.1 meters,73.33
0055322,North Stupa of Yeongoksa Temple,Who is believed to have built the North Stupa of Yeongoksa Temple?,Choe Chi-won,90.0
0055323,North Stupa of Yeongoksa Temple,What is the significance of the North Stupa within the temple complex?,It is believed to contain the remains of the temple's founder.,85.0
0055324,North Stupa of Yeongoksa Temple,What is the historical importance of Yeongoksa Temple in Korean Buddhism?,"It is one of the oldest temples in the region, dating back to the Three Kingdoms period.",70.0
0056328,Palsangjeon Wooden Pagoda of Beopjusa Temple,Who built the Palsangjeon Wooden Pagoda of Beopjusa Temple?,Silla King,80.0
0056329,Palsangjeon Wooden Pagoda of Beopjusa Temple,What does the inscription on the stele of this heritage depict?,Poems,50.0
0056330,Palsangjeon Wooden Pagoda of Beopjusa Temple,What is the significance of the Palsangjeon Wooden Pagoda in Korean Buddhism?,Oldest wooden pagoda in Korea,86.67
0057334,Guksajeon Shrine of Songgwangsa Temple,Who is credited with establishing the Songgwangsa Temple?,Jajang,80.0
0057335,Guksajeon Shrine of Songgwangsa Temple,What is the significance of Guksajeon Shrine within Songgwangsa Temple?,It houses the portrait of King Sejo.,81.67
0057336,Guksajeon Shrine of Songgwangsa Temple,What does the inscription on the stele at the shrine commemorate?,The renovation of the shrine.,80.0
0058340,Stupa of Master Cheolgam at Ssangbongsa Temple,Who is believed to have built the Stupa of Master Cheolgam at Ssangbongsa Temple?,Choe Chi-won,91.67
0058341,Stupa of Master Cheolgam at Ssangbongsa Temple,What is the significance of the stele inscription at the temple?,It contains a poem written by Choe Chi-won,56.67
0058342,Stupa of Master Cheolgam at Ssangbongsa Temple,What is the name of the temple where the Stupa of Master Cheolgam is located?,Ssangbongsa Temple,80.0
0059346,Iron Seated Bhaisajyaguru Buddha and Stone Pedestal of Janggoksa Temple,Who is depicted in this heritage?,Bhaisajyaguru Buddha,85.0
0059347,Iron Seated Bhaisajyaguru Buddha and Stone Pedestal of Janggoksa Temple,What is the name of the temple this heritage belongs to?,Janggoksa Temple,86.67
0059348,Iron Seated Bhaisajyaguru Buddha and Stone Pedestal of Janggoksa Temple,What is the significance of the inscription on the stele?,It provides historical information about the heritage.,63.33
0060352,Stele of State Preceptor Jigwang at Beopcheonsa Temple Site,Who was the State Preceptor mentioned on the stele?,Jigwang,80.0
0060353,Stele of State Preceptor Jigwang at Beopcheonsa Temple Site,Where is the Beopcheonsa Temple Site located?,Korea,53.33
0060354,Stele of State Preceptor Jigwang at Beopcheonsa Temple Site,What role did Choe Chi-won have in Korean history?,Scholar,40.0
0061358,Celadon Incense Burner with Lion-shaped Lid,Who is believed to have used this Celadon Incense Burner with Lion-shaped Lid?,Royalty,73.33
0061359,Celadon Incense Burner with Lion-shaped Lid,What is the significance of the lion motif on this heritage?,Symbol of strength and protection,73.33
0061360,Celadon Incense Burner with Lion-shaped Lid,Where was this Celadon Incense Burner with Lion-shaped Lid unearthed?,Goryeo Dynasty royal kiln site,70.0
0062364,Celadon Ewer in the Shape of a Fish-dragon,What is the cultural significance of a fish-dragon in the context of this heritage?,Symbol of power and good fortune,80.0
0062365,Celadon Ewer in the Shape of a Fish-dragon,Where was this Celadon Ewer in the Shape of a Fish-dragon discovered?,Goryeo Dynasty,63.33
0062366,Celadon Ewer in the Shape of a Fish-dragon,What material is the Celadon Ewer in the Shape of a Fish-dragon made of?,Porcelain,73.33
0063370,Mireukjeon Hall of Geumsansa Temple,Who is believed to have built the Mireukjeon Hall of Geumsansa Temple?,Choe Chi-won,80.0
0063371,Mireukjeon Hall of Geumsansa Temple,What is the significance of the Mireukjeon Hall within the Geumsansa Temple complex?,"It is the main hall dedicated to Maitreya, the future Buddha.",85.0
0064375,Iron Seated Vairocana Buddha of Dopiansa Temple,Who was the Vairocana Buddha seated at Dopiansa Temple dedicated to?,Cosmic Buddha,80.0
0064376,Iron Seated Vairocana Buddha of Dopiansa Temple,What is the significance of the inscription by Choe Chi-won on the stele?,Praising the Buddha,60.0
0064377,Iron Seated Vairocana Buddha of Dopiansa Temple,What is the historical importance of the Dopiansa Temple?,Oldest surviving wooden structure in Korea,53.33
0065381,Stone Lotus Basin of Beopjusa Temple,Who founded the Beopjusa Temple?,Uisang,56.67
0065382,Stone Lotus Basin of Beopjusa Temple,What is inscribed on the stele of this heritage?,A poem,56.67
0065383,Stone Lotus Basin of Beopjusa Temple,What is the significance of the lotus flower in Buddhist symbolism?,Purity and enlightenment,56.67
0066387,Celadon Incense Burner with Girin-shaped Lid,What material is this heritage made of?,Celadon,66.67
0066388,Celadon Incense Burner with Girin-shaped Lid,Who is believed to have made this heritage?,Kim Jeong-hui,43.33
0066389,Celadon Incense Burner with Girin-shaped Lid,In which country did celadon pottery originate?,Korea,50.0
0067393,Celadon Kundika with Inlaid Willow,Who is credited with the creation of Celadon pottery in Korea?,Choe Chi-won,43.33
0067394,Celadon Kundika with Inlaid Willow,What type of pottery is this heritage an example of?,Celadon,73.33
0067395,Celadon Kundika with Inlaid Willow,What is the significance of willow in Korean culture?,Symbol of resilience and flexibility,63.33
0068399,Gakhwangjeon Hall of Hwaeomsa Temple,What is the name of the hall located at Hwaeomsa Temple?,Gakhwangjeon Hall,86.67
0068400,Gakhwangjeon Hall of Hwaeomsa Temple,Who is credited with the construction of Gakhwangjeon Hall?,Master Uisang,90.0
0068401,Gakhwangjeon Hall of Hwaeomsa Temple,What type of Buddhist sect is associated with Hwaeomsa Temple?,Hwaeom,90.0
0069405,Celadon Prunus Vase with Inlaid Cloud and Crane Design,What is the main motif inlaid on the Celadon Prunus Vase?,Cloud and crane,90.0
0069406,Celadon Prunus Vase with Inlaid Cloud and Crane Design,What type of design technique was used on this heritage?,Inlaid,81.67
0069407,Celadon Prunus Vase with Inlaid Cloud and Crane Design,What is the material of this heritage?,Celadon,73.33
0070411,Certificate of Meritorious Subject Issued to Sim Ji-baek,Who was the recipient of the Certificate of Meritorious Subject?,Sim Ji-baek,96.67
0070412,Certificate of Meritorious Subject Issued to Sim Ji-baek,What was the reason for issuing the Certificate of Meritorious Subject to Sim Ji-baek?,For his loyalty and devotion to the state.,85.0
0071416,Hunminjeongeum (The Proper Sounds for the Instruction of the People),What is the purpose of 'Hunminjeongeum'?,To educate the people on how to read and write Korean.,90.0
0071417,Hunminjeongeum (The Proper Sounds for the Instruction of the People),Who is credited with creating 'Hunminjeongeum'?,King Sejong,98.33
0071418,Hunminjeongeum (The Proper Sounds for the Instruction of the People),What language is used in 'Hunminjeongeum'?,Korean,83.33
0072422,Dongguk jeongun (Standard Rhymes of the Eastern State),Who is credited with compiling the 'Dongguk jeongun'?,Choe Chi-won,91.67
0072423,Dongguk jeongun (Standard Rhymes of the Eastern State),What was the purpose of creating the 'Dongguk jeongun'?,To standardize rhymes for poetic composition,85.0
0072424,Dongguk jeongun (Standard Rhymes of the Eastern State),In which country was the 'Dongguk jeongun' created?,Korea,83.33
